"","stand_core","Acmispon glaber","Acmispon maritimus","Acmispon strigosus","Apiastrum angustifolium","Artemisia californica","Asclepias fascicularis","Astragalus trichopodus","Avena barbara","Bromus diandrus","Bromus hordeaceus","Bromus rubens","Calochortus clavatus","Carduus pycnocephalus","Ceanothus oliganthus","Centaurea melitensis","Claytonia parviflora","Claytonia perfoliata","Croton setiger","Cryptantha spp.","Diplacus aurantiacus","Dipterostemon capitatus","Emmenanthe penduliflora","Erigeron canadensis","Eriodictyon crassifolium","Erodium spp.","Eucrypta chrysanthemifolia","Festuca myuros","Fragaria vesca","Galium porrigens","Hirschfeldia incana","Juncus bufonius","Lactuca serriola","Laennecia coulteri","Logfia filaginoides","Lupinus bicolor","Madia gracilis","Malacothamnus fasciculatus","Malacothrix saxatilis","Melica imperfecta","Nicotiana glauca","Oxalis corniculata","Penstemon heterophyllus","Phacelia spp.","Polypogon monspeliensis","Pseudognaphalium californicum","Pseudognaphalium luteoalbum","Ribes spp.","Salvia leucophylla","Solanum xanti","Sonchus oleraceus","Stephanomeria virgata","Stipa lepida","Thysanocarpus spp.","Trifolium gracelentum","Trifolium willdenovii","Typha domingensis","Unknown C - bright green seedling, small leaves","Unknown D - brown dicot","Unknown E - plastic plant","Unknown G - fuzzy leaf dicot","Uropappus lindleyi"
"11","ENH1_4",0,0,0,0,0.00864553314121037,0.00576368876080692,0,0,0,0,0.348703170028818,0,0,0,0.0172910662824208,0,0,0,0,0,0,0,0,0.00288184438040346,0,0,0.00864553314121037,0,0,0,0,0.00288184438040346,0,0,0,0,0.0432276657060519,0,0,0,0,0,0.00288184438040346,0,0,0.00576368876080692,0,0.00864553314121037,0,0.00288184438040346,0,0.00288184438040346,0,0,0,0.00576368876080692,0,0,0,0,0.0201729106628242
"12","ENH1_5",0,0.00288184438040346,0,0,0.00288184438040346,0,0.00288184438040346,0,0,0,0.244956772334294,0,0,0,0.0518731988472623,0,0,0,0,0,0,0,0,0,0,0,0.00576368876080692,0,0,0,0,0,0,0.00288184438040346,0,0,0.0144092219020173,0,0,0,0,0,0,0,0,0,0,0,0,0.00576368876080692,0,0.00288184438040346,0,0,0,0.00288184438040346,0,0,0,0,0
"13","ENH2_10",0,0.0172910662824207,0,0,0.00576368876080692,0,0,0.126801152737752,0.0403458213256484,0.14985590778098,0.400576368876081,0,0,0,0.0259365994236311,0,0,0,0,0,0.00288184438040346,0,0,0,0.0288184438040346,0,0.239193083573487,0,0,0.00864553314121037,0.00288184438040346,0,0,0.00288184438040346,0,0,0.0288184438040346,0,0,0,0,0,0,0,0,0,0,0.00288184438040346,0,0,0,0,0,0,0.00288184438040346,0,0,0,0,0,0.00864553314121037
"14","ENH2_6",0.00864553314121037,0.00288184438040346,0,0,0.0172910662824207,0,0,0.031700288184438,0.00576368876080692,0.00864553314121037,0.167146974063401,0,0,0,0.00288184438040346,0,0,0,0,0,0.00576368876080692,0,0,0,0.00864553314121037,0,0.0288184438040346,0,0,0.0230547550432277,0,0,0,0,0,0,0.037463976945245,0,0,0,0,0,0,0,0,0,0,0,0,0.00288184438040346,0,0,0,0,0,0.00576368876080692,0.00288184438040346,0.00288184438040346,0,0,0
"15","ENH2_7",0,0.0144092219020173,0.00288184438040346,0,0.00576368876080692,0,0,0.0172910662824207,0,0.389048991354467,0.731988472622478,0,0,0,0.100864553314121,0,0,0,0,0,0,0,0,0,0.00576368876080692,0,0.357348703170029,0,0,0.00576368876080692,0,0.00288184438040346,0,0,0,0,0.0201729106628242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288184438040346,0.00864553314121037,0.00288184438040346,0,0.00288184438040346,0,0,0,0,0,0
"16","ENH2_8",0,0,0,0,0,0,0,0.01875,0,0.00913184438040346,0.0514229106628242,0,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0.0172910662824207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288184438040346,0,0,0,0.00288184438040346,0.00288184438040346,0
"17","ENH2_9",0.00288184438040346,0,0.0115273775216138,0,0,0,0,0.0864553314121037,0.00864553314121038,0.403458213256484,0.752161383285303,0.00864553314121037,0,0,0.0432276657060519,0,0,0,0,0,0,0,0,0,0.0144092219020173,0,0.24207492795389,0,0,0.00864553314121037,0,0,0,0,0.00288184438040346,0,0.031700288184438,0,0,0,0,0,0.00576368876080692,0,0,0,0,0.00288184438040346,0.00576368876080692,0,0,0,0,0,0,0.00576368876080692,0,0,0,0,0
"18","INT1_1",0,0,0,0.0080672268907563,0.0053781512605042,0,0.0324481792717087,0,0.0236638655462185,0,0,0,0,0,0,0.0060952380952381,0.0182857142857143,0,0,0,0,0.0121904761904762,0.0060952380952381,0,0,0.0270700280112045,0,0,0,0,0,0,0,0,0,0,0,0.0060952380952381,0,0.0270700280112045,0,0.0270700280112045,0,0.0060952380952381,0.0087843137254902,0.0182857142857143,0.0026890756302521,0,0,0.0060952380952381,0,0.111686274509804,0,0,0,0,0,0,0,0,0
"19","INT1_2",0.0026890756302521,0,0,0.0446386554621849,0.0400672268907563,0,0.00726050420168067,0,0,0,0.0145210084033613,0,0,0,0,0,0,0,0.00726050420168067,0,0,0,0.0190924369747899,0,0,0.00726050420168067,0.0026890756302521,0,0,0,0,0,0,0,0,0,0,0,0,0.0228571428571429,0,0,0.0080672268907563,0,0.0484033613445378,0.0026890756302521,0.0282352941176471,0,0,0.0026890756302521,0,0.129344537815126,0,0,0,0,0,0,0,0,0
"20","INT1_3",0,0,0,0.0545882352941176,0.0053781512605042,0,0,0,0,0,0.025546218487395,0,0,0,0,0.0026890756302521,0,0,0.0053781512605042,0,0,0,0.00457142857142857,0,0,0.021781512605042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352268907563025,0,0.00914285714285714,0,0,0.0820168067226891,0.0026890756302521,0.0053781512605042,0,0.0026890756302521,0,0,0.0172100840336134,0,0,0,0,0,0,0,0,0
"21","INT2_4",0,0,0,0.0290420168067227,0.255193277310924,0,0.0080672268907563,0,0,0,0.0419495798319328,0,0,0,0.0890084033613446,0,0,0,0,0,0,0,0.00914285714285714,0,0,0,0.0026890756302521,0,0,0,0,0,0.00457142857142857,0,0,0,0,0,0,0.00914285714285714,0.00457142857142857,0,0.0838991596638655,0,0.0053781512605042,0,0,0.00726050420168067,0,0,0,0.0053781512605042,0,0,0,0,0,0,0,0,0
"22","INT2_5",0,0,0,0.0121904761904762,0.156324929971989,0,0,0,0,0,0.0729635854341737,0,0,0,0,0,0.0060952380952381,0,0,0,0,0,0.0080672268907563,0,0,0.0209747899159664,0,0,0,0,0,0,0,0,0,0,0,0.0060952380952381,0,0.0087843137254902,0,0,0.0871260504201681,0,0,0.0060952380952381,0,0.0026890756302521,0,0,0,0.0026890756302521,0,0,0,0,0,0,0,0,0
"23","INT2_6",0.0026890756302521,0,0,0.0209747899159664,0.0812100840336135,0,0,0,0,0,0.047327731092437,0,0.00457142857142857,0.00457142857142857,0,0,0.0026890756302521,0,0,0,0,0,0,0,0,0.0190924369747899,0.0290420168067227,0,0,0,0,0,0.00457142857142857,0,0,0,0.00457142857142857,0.0026890756302521,0.0145210084033613,0.0118319327731092,0,0,0.238789915966387,0,0.0489411764705882,0.00726050420168067,0,0,0,0,0,0.0172100840336134,0,0,0,0,0,0,0,0,0
"24","INT3_7",0.0053781512605042,0,0,0,0.0209747899159664,0,0.00457142857142857,0,0.00994957983193277,0,0.0930420168067227,0,0,0,0,0.00457142857142857,0,0,0,0,0,0,0.0209747899159664,0,0,0.0209747899159664,0.00726050420168067,0,0,0,0,0,0,0,0,0.0198991596638655,0.00457142857142857,0.00457142857142857,0,0.00457142857142857,0.00457142857142857,0,0,0.0693781512605042,0.0137142857142857,0.00726050420168067,0,0,0.0026890756302521,0,0,0.220773109243697,0,0,0,0.00457142857142857,0,0,0,0,0
"25","INT3_8",0,0,0,0.0026890756302521,0.0087843137254902,0,0.0053781512605042,0,0.0060952380952381,0,0.0087843137254902,0,0,0,0,0.0060952380952381,0.0087843137254902,0,0,0,0,0.0134453781512605,0.0331652661064426,0,0,0.0121904761904762,0.0297591036414566,0,0,0,0,0,0,0,0,0,0.0060952380952381,0,0,0.0087843137254902,0,0,0.0026890756302521,0,0.0026890756302521,0.0331652661064426,0.0121904761904762,0.0060952380952381,0.0736806722689076,0,0,0.0595182072829132,0,0,0,0.0026890756302521,0,0,0,0,0
"26","INT3_9",0,0,0,0,0.0087843137254902,0,0,0,0.0629243697478992,0,0.14144537815126,0,0,0,0,0,0,0,0,0,0,0.0060952380952381,0.0426666666666667,0,0,0.0148795518207283,0.0148795518207283,0,0,0,0,0,0,0,0,0,0,0.0121904761904762,0,0,0.0121904761904762,0,0,0.0148795518207283,0.0060952380952381,0,0.0080672268907563,0.0053781512605042,0,0,0.0060952380952381,0.140011204481793,0,0,0,0,0,0,0,0,0.0365714285714286
